,movie_title,link,story
20,教父,https://movie.douban.com/subject/1291841/,40年代的美國，“教父”維托·柯里昂（馬龍·白蘭度飾）是黑手黨柯里昂家族的首領，帶領家族從事非法的勾當，但同時他也是許多弱小平民的保護神，深得人們愛戴。因為拒絕了毒梟索洛索的毒品交易要求，柯里昂家族和紐約其他幾個黑手黨家族的矛盾激化。聖誕前夕，索洛索劫持了“教父”的參謀湯姆，並派人暗殺“教父”；因為內奸的出賣，“教父”的大兒子遜尼被仇家殺害；小兒子麥克（阿爾·帕西諾飾）也被卷了進來，失去愛妻。黑手黨家族之間的矛盾越來越白熱化。年老的“教父”面對喪子之痛怎樣統領全域？黑手黨之間的仇殺如何落幕？誰是家族的內奸？誰又能夠成為新一代的“教父”？血雨腥風和溫情脈脈，在這部里程碑式的黑幫史詩巨片裡真實上演。
21,當幸福來敲門,https://movie.douban.com/subject/1849031/,克裡斯•迦納（威爾·史密斯WillSmith飾）用盡全部積蓄買下了高科技治療儀，到處向醫院推銷，可是價格高昂，接受的人不多。就算他多努力都無法提供一個良好的生活環境給妻兒，妻子（桑迪·牛頓ThandieNewton飾）最終選擇離開家。從此他帶著兒子克裡斯托夫（賈登·史密斯JadenSmith飾）相依為命。克裡斯好不容易爭取回來一個股票投資公司實習的機會，就算沒有報酬，成功機會只有百分之五，他仍努力奮鬥，兒子是他的力量。他看盡白眼，與兒子躲在地鐵站裡的公共廁所裡，住在教堂的收容所裡……他堅信，幸福明天就會來臨。
22,控方證人,https://movie.douban.com/subject/1296141/,倫敦著名刑案辯護律師韋菲爵士（查理斯•勞頓CharlesLaughton飾）接受了心臟病治療，但是身體依舊虛弱，第一天回家休養，護士一直嚴厲監督他服藥，並杜絕煙酒。管家為了便於上樓，還專門為他修了電梯。但是，種種關心照顧，對於這位桀驁不馴、牙尖嘴利的大律師根本不起作用，反倒是一紙訴狀令他倍感興奮。律師梅休和當事人沃爾（泰隆•鮑華TyronePower飾）登門拜訪，請他出山打官司。原來，沃爾結識了富婆，兩人相見甚歡，雖然僕人對他發明的打蛋器充滿鄙夷，但是富婆卻對他充滿愛意，甚至為他修改了遺囑，把8萬英鎊留給了他。然而，富婆卻慘遭毒手。於是，沃爾成為警方的頭號嫌疑犯。他的唯一證人是妻子克裡斯汀（瑪琳•黛德麗MarleneDietrich飾），然而後者登門時的冷漠與淡定，令韋菲爵士懷疑這其中另有隱情。在撲朔迷離的案件背後，隱藏著一個個環環相扣...
23,龍貓,https://movie.douban.com/subject/1291560/,小月的母親生病住院了，父親帶著她與四歲的妹妹小梅到鄉間的居住。她們對那裡的環境都感到十分新奇，也發現了很多有趣的事情。她們遇到了很多小精靈，她們來到屬於她們的環境中，看到了她們世界中很多的奇怪事物，更與一隻大大胖胖的龍貓成為了朋友。龍貓與小精靈們利用他們的神奇力量，為小月與妹妹帶來了很多神奇的景觀，令她們大開眼界。妹妹小梅常常掛念生病中的母親，嚷著要姐姐帶著她去看母親，但小月拒絕了。小梅竟然自己前往，不料途中迷路了，小月只好尋找她的龍貓及小精靈朋友們幫助。
24,怦然心動,https://movie.douban.com/subject/3319755/,布萊斯（卡蘭•麥克奧利菲CallanMcAuliffe飾）全家搬到小鎮，鄰家女孩朱麗（瑪德琳•卡羅爾MadelineCarroll飾）前來幫忙。她對他一見鍾情，心願是獲得他的吻。兩人是同班同學，她一直想方設法接近他，但是他避之不及。她喜歡爬在高高的梧桐樹上看風景。但因為施工，樹被要被砍掉，她誓死捍衛，希望他並肩作戰，但是他退縮了。她的事蹟上了報紙，外公對她頗有好感，令他十分困惑。她憑藉雞下蛋的專案獲得了科技展第一名，成了全場焦點，令他黯然失色。她把自家雞蛋送給他，他聽家人懷疑她家雞蛋不衛生，便偷偷把雞蛋丟掉。她得知真相，很傷心，兩人關係跌入冰點。她跟家人訴說，引發爭吵。原來父親一直攢錢照顧傻弟弟，所以生活拮据。她理解了父母，自己動手，還得到了他外公的鼎力相助。他向她道歉，但是並未解決問題。他開始關注她。雞蛋風波未平，家庭晚宴與午餐男孩評選...
25,觸不可及,https://movie.douban.com/subject/6786002/,因為一次跳傘事故，白人富翁菲力浦Philippe（弗朗索瓦·克魯塞FrançoisCluzet飾）癱瘓在床，欲招聘一名全職陪護。由於薪酬高，應聘者雲集，個個舌燦蓮花，卻無法打動他的心。直到黑人德希斯Driss（奧瑪·賽OmarSy飾）的出現才讓他作出決定。德希斯剛從監獄出來，背負家庭重擔，一心只想尋張辭退信以申領救濟金，而且他明顯對女助理的興趣要遠大於這份工作。但是菲力浦還是一眼相中了這個小夥子。於是，德希斯開始了一個月的試用期。雖然舒適的豪宅環境讓他倍感虛榮，但是他仍面臨很多挑戰：不僅要為菲力浦作身體複健，還得給他洗浴、灌腸、拆信、穿絲襪等。起初，兩人的思維方式與價值觀大相徑庭，但是，隨著瞭解的不斷深入，他們成為了朋友……本片取材於真實事件，獲2011年東京電影節最佳影片金麒麟獎，弗朗索瓦·克魯塞與奧瑪·賽分享影帝桂冠。
26,末代皇帝,https://movie.douban.com/subject/1293172/,溥儀（尊龍飾）的一生在電影中娓娓道來。他從三歲起登基，年幼的眼光中只有大臣身上的一隻蟈蟈，江山在他心中只是一個不明所以的名詞。長大了，他以為可以變革，卻被太監一把火燒了朝廷帳本。他以為自己是大清江山的主人，卻做了日本人的傀儡。解放後，他坐上了從蘇聯回來的火車，身邊是押送監視他的解放軍。他猜測自己難逃一死，便躲在狹小的衛生間裡，割脈自殺。然而他沒有死在火車上，命運的嘲笑還在等著他。文革的風風雨雨，在他身上留下了斑斑傷痕。
27,蝙蝠俠：黑暗騎士,https://movie.douban.com/subject/1851857/,從親眼目睹父母被人殺死的陰影中走出來的“蝙蝠俠”，經歷了成長之後，已經不再是那個桀驁不的孤單英雄了。在警官吉姆·戈登和檢查官哈威·登特的通力幫助下，“蝙蝠俠”無後顧之憂地繼續滿世界的奔波，與日益增長起來的犯罪威脅做著永無休止的爭鬥，而他所在的高譚市，也是進展最為明顯的地方，犯罪率以一種驚人的速度持續下降著，畢竟對方是能夠上天入地的“蝙蝠俠”，不借兩個膽子誰還敢造次呢？不過像高譚這種科技與污穢並存的城市，平靜是不可能維持太久的，果不其然，新一輪的混亂很快就席捲了整個城市，人們再一被被恐慌所籠罩著，而聲稱願意為這一切負責的，自然就是所有混亂的源頭以及支配者--“小丑”了。先不管“小丑”掀起一個又一個犯罪的狂潮的最終目的為何，他的企圖都是邪惡的，所作所為更是早就危害到了高譚市民的正常生活……其中自然包括了“蝙蝠俠”身邊幾個非常重要的人，而他需要做的，就是...
28,尋夢環遊記,https://movie.douban.com/subject/20495023/,熱愛音樂的米格爾（安東尼·岡薩雷茲AnthonyGonzalez配音）不幸地出生在一個視音樂為洪水猛獸的大家庭之中，一家人只盼著米格爾快快長大，好繼承家裡傳承了數代的制鞋產業。一年一度的亡靈節即將來臨，每逢這一天，去世的親人們的魂魄便可憑藉著擺在祭壇上的照片返回現世和生者團圓。在一場意外中，米格爾竟然穿越到了亡靈國度之中，在太陽升起之前，他必須得到一位親人的祝福，否則就將會永遠地留在這個世界裡。米格爾決定去尋找已故的歌神德拉庫斯（本傑明·布拉特BenjaminBratt配音），因為他很有可能就是自己的祖父。途中，米格爾邂逅了落魄樂手埃克托（蓋爾·加西亞·貝納爾GaelGarcíaBernal配音），也漸漸發現了德拉庫斯隱藏已久的秘密。
29,活著,https://movie.douban.com/subject/1292365/,根據余華同名小說改編。富少福貴（葛優）嗜賭成性，妻子家珍（鞏俐）屢勸無果後帶著女兒鳳霞離開了他，當夜，福貴輸光所有家產氣死父親，被迫靠變賣母親首飾租間破屋過活。一年後，家珍手拉鳳霞懷抱剛出世的兒子有慶回到家中，福貴痛改前非，開始靠演皮影戲過起安份守己的日子。但好景不常，內戰時期，福貴被國民黨抓去當勞工，一番輾轉終回到家鄉與一家人團圓後，鳳霞因病變成啞巴，而在後來的大躍進運動和文化大革命中，他雖獲某些小福，逆境卻也一直與他如影相隨。
